Algorithm,InputSize,InputType,Time(ns),MaxDepth,ExtraMetric
MergeSort,10000,Random,511700,11,128102
QuickSort,10000,Random,596100,9,74741
MergeSort,10000,Sorted,34800,11,9999
QuickSort,10000,Sorted,254100,8,10097
MergeSort,10000,Reverse,195600,11,94708
QuickSort,10000,Reverse,298500,9,55752
MergeSort,10000,Duplicates,336000,11,122437
QuickSort,10000,Duplicates,5169300,3,27969
MergeSort,20000,Random,1228600,12,276126
QuickSort,20000,Random,1186300,9,174121
MergeSort,20000,Sorted,340500,12,19999
QuickSort,20000,Sorted,551400,9,20105
MergeSort,20000,Reverse,351400,12,199425
QuickSort,20000,Reverse,612100,10,121352
MergeSort,20000,Duplicates,620400,12,264033
QuickSort,20000,Duplicates,20514700,3,49993
MergeSort,40000,Random,2766100,13,591873
QuickSort,40000,Random,3218000,10,396221
MergeSort,40000,Sorted,124800,13,39999
QuickSort,40000,Sorted,1087400,9,40536
MergeSort,40000,Reverse,863100,13,418859
QuickSort,40000,Reverse,1236100,9,266746
MergeSort,40000,Duplicates,1532600,13,566185
QuickSort,40000,Duplicates,77611800,3,151488
MergeSort,80000,Random,5791100,14,1265065
QuickSort,80000,Random,5143100,10,765653
MergeSort,80000,Sorted,253400,14,79999
QuickSort,80000,Sorted,2172500,10,80826
MergeSort,80000,Reverse,3103200,14,877699
QuickSort,80000,Reverse,2863200,10,604032
MergeSort,80000,Duplicates,3174000,14,1209227
QuickSort,80000,Duplicates,312808900,3,223955
MergeSort,160000,Random,12219000,15,2689841
QuickSort,160000,Random,10650700,11,1815391
MergeSort,160000,Sorted,488700,15,159999
QuickSort,160000,Sorted,4356600,12,161056
MergeSort,160000,Reverse,3849700,15,1835384
QuickSort,160000,Reverse,5189500,12,1250631
MergeSort,160000,Duplicates,6970400,15,2569136
QuickSort,160000,Duplicates,1157470200,3,431837
